Date,Day Name,Month,Year,Subways _Total _Ridership,Subways_%Prepandemic,Buses_Total_Ridership,Buses_%Prepandemic,AAR_Total_Ridership,AAR_%Prepandemic,Bridges&Tunnels_Total_Ridership,Bridges&Tunnels_%Prepandemic,LIRR_Total_Ridership,LIRR_%Prepandemic,MNR_Total_ Ridership,MNR_%Prepandemic,SIR_Total_ _Ridership,SIR_ %Prepandemic
4/27/2020,Monday,4,2020,462888,8,15283,1,6922,24,384123,41,8828,3,10243,4,812,5
4/28/2020,Tuesday,4,2020,489247,9,16380,1,7542,26,436346,46,9167,3,10531,4,826,5
4/29/2020,Wednesday,4,2020,477799,9,15406,1,7844,27,410502,44,9100,3,10165,4,790,5
4/30/2020,Thursday,4,2020,465869,8,14062,1,7253,25,405168,43,9335,3,9971,3,764,5
5/1/2020,Friday,5,2020,494549,9,14893,1,8332,28,445621,46,6200,2,9206,3,763,4
5/2/2020,Saturday,5,2020,325865,10,8912,1,5493,32,401938,42,3959,3,5908,4,489,10
5/3/2020,Sunday,5,2020,258865,11,6404,1,3263,19,353314,41,3314,3,4839,5,334,9
5/4/2020,Monday,5,2020,511866,9,16315,1,8287,28,447424,46,11158,3,10764,4,897,5
5/5/2020,Tuesday,5,2020,522085,9,16377,1,8445,29,462085,48,13265,4,10604,4,894,5
5/6/2020,Wednesday,5,2020,508824,9,15677,1,8832,30,444179,46,14489,5,10107,4,822,5
5/7/2020,Thursday,5,2020,535073,9,16130,1,8509,29,488836,51,16139,5,11247,4,930,5
5/8/2020,Friday,5,2020,526054,9,14571,1,8656,29,483830,50,15714,5,11242,4,811,5
5/9/2020,Saturday,5,2020,316883,10,7594,1,5055,29,371426,39,7651,6,6017,4,489,10
5/10/2020,Sunday,5,2020,271947,11,6367,1,3962,23,415867,49,7990,8,5878,6,406,12
5/11/2020,Monday,5,2020,520873,9,15176,1,7636,26,458041,48,18349,6,11434,4,829,5
5/12/2020,Tuesday,5,2020,553372,10,15989,1,8271,28,488406,51,19018,6,11488,4,914,5
5/13/2020,Wednesday,5,2020,565377,10,16170,1,9437,32,509243,53,19356,6,11931,4,956,5
5/14/2020,Thursday,5,2020,567392,10,15905,1,8855,30,520395,54,19310,6,12131,4,923,5
5/15/2020,Friday,5,2020,587808,10,15481,1,9473,32,562990,58,20092,6,12936,5,976,6
5/16/2020,Saturday,5,2020,360844,11,8742,1,5947,34,477097,50,11075,9,8100,5,485,10
5/17/2020,Sunday,5,2020,287418,12,6504,1,3577,21,391606,46,8793,9,6168,6,337,10
5/18/2020,Monday,5,2020,595469,10,17206,1,8969,31,505314,53,22113,7,13141,5,1036,6
5/19/2020,Tuesday,5,2020,610884,11,17296,1,9290,32,524482,54,21599,7,12777,4,1067,6
5/20/2020,Wednesday,5,2020,623749,11,17674,1,10224,35,542409,56,22224,7,12753,4,1044,6
5/21/2020,Thursday,5,2020,629298,11,17565,1,9731,33,585552,61,22585,7,13294,5,1069,6
5/22/2020,Friday,5,2020,633883,11,16453,1,9782,33,626983,65,22830,7,14711,5,1046,6
5/23/2020,Saturday,5,2020,335830,10,7186,1,5550,32,394091,41,10983,9,7613,5,420,9
5/24/2020,Sunday,5,2020,320015,13,6642,1,4117,24,461170,54,11871,12,8977,9,361,10
5/25/2020,Monday,5,2020,393918,16,7996,1,5428,32,445015,52,19321,20,12982,12,441,13
5/26/2020,Tuesday,5,2020,656766,11,17819,1,9875,34,587269,61,26691,8,14937,5,1173,7
5/27/2020,Wednesday,5,2020,674465,12,17911,1,11088,38,601140,62,26483,8,14432,5,1240,7
5/28/2020,Thursday,5,2020,658057,12,17535,1,10030,34,584628,61,25175,8,14161,5,1191,7
5/29/2020,Friday,5,2020,657259,11,16378,1,10185,35,598607,62,25070,8,15697,5,1094,6
5/30/2020,Saturday,5,2020,426737,13,9112,1,6143,35,537179,56,15557,13,11003,7,18,0
5/31/2020,Sunday,5,2020,344426,14,6724,1,4216,25,495487,58,13554,14,9390,9,2,0
6/1/2020,Monday,6,2020,687162,12,17833,1,10760,37,595059,61,34339,10,16184,5,1358,8
6/2/2020,Tuesday,6,2020,693760,12,16576,1,11206,38,579411,59,33769,10,16294,6,1516,9
6/3/2020,Wednesday,6,2020,681714,12,17830,1,11962,41,582624,59,32523,10,15649,5,1323,8
6/4/2020,Thursday,6,2020,726672,13,18538,1,12000,41,650868,66,29771,9,17149,6,1346,8
6/5/2020,Friday,6,2020,703576,13,16863,1,11698,40,643562,65,33482,10,18065,6,1249,8
6/6/2020,Saturday,6,2020,464198,14,8912,1,6591,38,551793,56,18090,15,12179,8,9,0
6/7/2020,Sunday,6,2020,377990,14,7579,1,4650,26,538418,58,16797,17,11231,10,95,2
6/8/2020,Monday,6,2020,804542,14,25663,1,11957,41,644829,66,42630,13,20140,7,1596,10
6/9/2020,Tuesday,6,2020,842306,15,26247,1,12869,44,680462,69,42274,13,19543,7,1662,10
6/10/2020,Wednesday,6,2020,857015,15,26735,1,13616,46,680270,69,43083,13,20517,7,1767,11
6/11/2020,Thursday,6,2020,818297,15,24284,1,12514,43,656695,67,40961,12,19525,7,1576,10
6/12/2020,Friday,6,2020,896658,16,24459,1,13224,45,765491,78,45072,14,24165,8,1656,10
6/13/2020,Saturday,6,2020,545316,17,12115,1,7794,45,631064,64,25355,21,16675,11,17,0
6/14/2020,Sunday,6,2020,430439,16,8731,1,5195,29,563725,61,20859,21,13794,13,7,0
6/15/2020,Monday,6,2020,897112,16,27057,1,12953,44,674785,69,47545,14,22841,8,1813,11
6/16/2020,Tuesday,6,2020,932671,17,28049,1,12939,44,695359,71,46876,14,22555,8,1874,12
6/17/2020,Wednesday,6,2020,948461,17,27924,1,14595,50,709679,72,47166,14,24167,8,1857,11
6/18/2020,Thursday,6,2020,942382,17,27516,1,13808,47,729486,74,47851,14,24081,8,1936,12
6/19/2020,Friday,6,2020,986929,38,25578,2,13868,77,797518,86,50201,51,27772,25,1751,45
6/20/2020,Saturday,6,2020,576075,18,11899,1,8185,47,666226,68,28959,24,18559,12,22,0
6/21/2020,Sunday,6,2020,449497,17,9072,1,6328,35,654913,71,27094,28,16719,15,0,0
6/22/2020,Monday,6,2020,1000046,18,30863,1,13314,45,733290,75,53878,16,25367,9,2027,13
6/23/2020,Tuesday,6,2020,1050786,19,32305,2,15069,51,744822,76,52898,16,24909,8,2219,14
6/24/2020,Wednesday,6,2020,1068333,19,32504,2,15155,52,752749,77,52354,16,25277,9,2194,14
6/25/2020,Thursday,6,2020,1078796,19,32393,2,14854,51,781617,79,53444,16,25644,9,2210,14
6/26/2020,Friday,6,2020,1102382,20,30480,1,15048,51,830887,85,55647,17,29700,10,2115,13
6/27/2020,Saturday,6,2020,615398,19,12942,1,8541,49,630730,64,26773,22,17932,11,686,14
6/28/2020,Sunday,6,2020,535898,20,10167,1,5748,32,623131,67,25680,26,15918,15,590,15
6/29/2020,Monday,6,2020,1100769,20,33264,2,14705,50,767165,78,63309,19,28163,10,2317,14
6/30/2020,Tuesday,6,2020,1113124,20,33996,2,15291,52,758785,77,57955,17,27077,9,2386,15
7/1/2020,Wednesday,7,2020,1120537,21,32921,2,16451,58,779409,81,56505,18,27770,10,2305,17
7/2/2020,Thursday,7,2020,1170483,22,32730,2,15981,56,881471,92,64261,20,31948,11,2365,17
