Date,Day Name,Month,Year,Subways _Total _Ridership,Subways_%Prepandemic,Buses_Total_Ridership,Buses_%Prepandemic,AAR_Total_Ridership,AAR_%Prepandemic,Bridges&Tunnels_Total_Ridership,Bridges&Tunnels_%Prepandemic,LIRR_Total_Ridership,LIRR_%Prepandemic,MNR_Total_ Ridership,MNR_%Prepandemic,SIR_Total_ _Ridership,SIR_ %Prepandemic
11/4/2020,Wednesday,11,2020,1690489,30,1089354,50,22174,71,754703,80,81551,25,38818,14,3448,20
11/5/2020,Thursday,11,2020,1793796,32,1130774,52,22937,73,818991,87,86987,26,41550,15,3793,22
11/6/2020,Friday,11,2020,1837314,33,1120729,51,22659,73,858167,91,89499,27,48138,17,3546,21
11/7/2020,Saturday,11,2020,1246321,39,752851,57,13409,79,790711,87,46368,40,35870,24,35,1
11/8/2020,Sunday,11,2020,927670,37,587220,59,10474,56,726041,88,38485,41,27961,27,846,28
11/9/2020,Monday,11,2020,1752614,31,1111203,51,21444,69,773216,82,91681,28,42627,15,3561,21
11/10/2020,Tuesday,11,2020,1836902,33,1151911,53,23138,74,800964,85,91532,28,43083,15,3848,23
11/11/2020,Wednesday,11,2020,1614812,64,969123,97,20263,108,713639,87,83306,88,40073,38,3050,99
11/12/2020,Thursday,11,2020,1776666,32,1054132,48,22059,71,779141,83,86189,26,40381,14,3546,21
11/13/2020,Friday,11,2020,1816693,32,1061680,48,22054,71,821059,87,86252,26,45127,16,3332,20
11/14/2020,Saturday,11,2020,1215477,38,755951,57,12928,76,735029,81,41422,36,31397,21,14,0
11/15/2020,Sunday,11,2020,820858,33,528421,53,9763,52,596389,72,30948,33,20946,20,697,23
11/16/2020,Monday,11,2020,1741750,31,1079560,49,21851,70,757987,80,89463,27,41961,15,3532,21
11/17/2020,Tuesday,11,2020,1788847,32,1092416,50,22524,72,764724,81,86965,26,40078,14,3584,21
11/18/2020,Wednesday,11,2020,1787688,32,1065597,49,23390,75,776421,82,84069,26,39693,14,3495,21
11/19/2020,Thursday,11,2020,1757535,31,1056928,48,21780,70,800461,85,84662,26,40122,14,3529,21
11/20/2020,Friday,11,2020,1800423,32,1079029,49,22945,73,843069,89,87402,27,44683,16,3473,20
11/21/2020,Saturday,11,2020,1157957,37,750801,57,13193,78,742369,82,39204,34,27716,18,19,1
11/22/2020,Sunday,11,2020,817963,32,542124,54,10694,57,598348,73,31019,33,20269,19,92,3
11/23/2020,Monday,11,2020,1646525,29,1005225,46,21297,68,755374,80,87693,27,40668,14,3223,19
11/24/2020,Tuesday,11,2020,1735702,31,1068789,49,22814,73,821449,87,89805,27,41772,15,3405,20
11/25/2020,Wednesday,11,2020,1688227,30,1037242,47,21450,69,853222,90,93444,28,46209,16,3166,19
11/26/2020,Thursday,11,2020,652276,26,444391,45,12151,65,564192,68,72572,77,20393,20,847,28
11/27/2020,Friday,11,2020,1263473,50,815993,82,12395,66,671213,81,77273,82,25009,24,2046,67
11/28/2020,Saturday,11,2020,1032823,33,689580,52,10808,64,649087,71,37770,33,24688,16,1203,35
11/29/2020,Sunday,11,2020,826974,33,548548,55,9360,50,631798,77,32628,35,21898,21,826,27
11/30/2020,Monday,11,2020,1459131,26,849277,39,19751,63,652663,69,80033,24,37026,13,3035,18
12/1/2020,Tuesday,12,2020,1706348,32,1068627,53,21693,74,752069,85,73589,23,35225,13,3432,22
12/2/2020,Wednesday,12,2020,1699968,32,1026056,51,22712,78,746840,84,73631,23,35615,13,3277,21
12/3/2020,Thursday,12,2020,1736045,33,1070197,53,22941,79,767310,87,75093,24,37013,13,3325,21
12/4/2020,Friday,12,2020,1701628,32,1024641,51,21960,75,775709,88,72062,23,39228,14,3121,20
12/5/2020,Saturday,12,2020,1000240,30,617332,49,10151,59,572557,65,33528,26,19727,13,996,20
12/6/2020,Sunday,12,2020,878393,35,547330,56,9904,56,590525,74,35055,33,19652,18,885,26
12/7/2020,Monday,12,2020,1656627,31,1032813,52,21424,73,729674,82,77787,25,36890,13,3209,21
12/8/2020,Tuesday,12,2020,1540893,29,1034410,52,22177,76,744112,84,75033,24,36403,13,3185,20
12/9/2020,Wednesday,12,2020,1701926,32,1018247,51,22459,77,749886,85,74734,24,35917,13,3233,21
12/10/2020,Thursday,12,2020,1761336,33,1075970,54,22845,78,784406,89,76847,24,37600,13,3346,21
12/11/2020,Friday,12,2020,1786290,33,1064457,53,22751,78,821871,93,79717,25,42420,15,3278,21
12/12/2020,Saturday,12,2020,1091352,33,703892,55,12307,71,671668,76,41791,33,24118,15,20,0
12/13/2020,Sunday,12,2020,911439,36,582389,60,10208,57,659446,83,39293,37,22669,21,80,2
12/14/2020,Monday,12,2020,1584089,30,955525,48,21333,73,723908,82,75008,24,36057,13,2979,19
12/15/2020,Tuesday,12,2020,1783388,33,1088287,54,23432,80,819063,92,78446,25,38322,14,3353,21
12/16/2020,Wednesday,12,2020,1569079,29,853797,43,19296,66,625006,71,68092,22,33572,12,2899,19
12/17/2020,Thursday,12,2020,1079818,20,523854,26,9940,34,297298,34,21417,7,12527,4,1613,10
12/18/2020,Friday,12,2020,1735664,33,943587,47,17537,60,736356,83,74908,24,41287,15,3063,20
12/19/2020,Saturday,12,2020,1112827,34,670787,53,11589,67,651814,74,41101,32,24217,15,25,1
12/20/2020,Sunday,12,2020,821265,32,516593,53,9585,54,555254,70,32597,31,18767,17,736,22
12/21/2020,Monday,12,2020,1716035,32,1028489,51,21647,74,777049,88,81225,26,39814,14,3244,21
12/22/2020,Tuesday,12,2020,1760948,33,1046799,52,22820,78,814975,92,82001,26,39579,14,3254,21
12/23/2020,Wednesday,12,2020,1772537,33,1048565,52,23305,80,864271,98,84404,27,42100,15,3201,21
12/24/2020,Thursday,12,2020,1312480,25,822916,41,15928,55,760624,86,75759,24,38899,14,2176,14
12/25/2020,Friday,12,2020,485208,19,314171,32,8611,48,476547,60,51348,48,14435,13,631,19
12/26/2020,Saturday,12,2020,879170,26,559111,44,9094,53,593895,67,36047,28,22076,14,1014,20
12/27/2020,Sunday,12,2020,760350,30,474033,48,9457,53,594862,75,34432,32,20470,19,901,27
12/28/2020,Monday,12,2020,1510168,28,922336,46,18820,65,743305,84,81566,26,41012,15,3027,19
12/29/2020,Tuesday,12,2020,1555198,29,930711,46,19717,68,759864,86,78904,25,39416,14,3097,20
12/30/2020,Wednesday,12,2020,1582486,30,948194,47,20922,72,799839,90,79298,25,40962,15,2990,19
12/31/2020,Thursday,12,2020,1274984,24,792993,40,17167,59,704297,79,75157,24,39947,14,2162,14
1/1/2021,Friday,1,2021,613692,29,378288,41,5960,44,445950,65,28977,35,14988,17,805,29
1/2/2021,Saturday,1,2021,988418,37,608686,51,10450,72,624765,82,28879,30,23139,18,1194,29
1/3/2021,Sunday,1,2021,653187,31,413820,45,9745,72,496494,73,20819,25,15546,17,728,27
1/4/2021,Monday,1,2021,1557977,30,964597,47,20612,73,688045,79,71078,24,35679,13,3260,20
1/5/2021,Tuesday,1,2021,1597518,31,990479,48,21641,76,708610,82,70424,23,35805,13,3392,21
1/6/2021,Wednesday,1,2021,1613629,31,996123,49,22795,81,726679,84,70289,23,35857,13,3260,20
1/7/2021,Thursday,1,2021,1611099,31,989097,48,21571,76,736609,85,69695,23,36344,14,3149,19
1/8/2021,Friday,1,2021,1619242,31,982175,48,21641,76,754548,87,68649,23,39102,15,3017,18
1/9/2021,Saturday,1,2021,990412,37,643475,54,12023,83,630790,83,26962,28,22332,17,806,20
1/10/2021,Sunday,1,2021,763097,36,501437,55,9467,70,564543,83,23751,29,18076,20,593,22
1/11/2021,Monday,1,2021,1568207,30,966517,47,21089,75,708058,81,72285,24,36015,13,3123,19
1/12/2021,Tuesday,1,2021,1640428,32,997279,49,21623,76,730831,84,71403,24,36563,14,3297,20
1/13/2021,Wednesday,1,2021,1641652,32,996646,49,22720,80,737859,85,70591,23,36488,14,3160,19
1/14/2021,Thursday,1,2021,1647396,32,1017757,50,21950,78,754071,87,70937,23,37403,14,3234,20
1/15/2021,Friday,1,2021,1627120,32,981817,48,21819,77,788779,91,70180,23,41025,15,2978,18
1/16/2021,Saturday,1,2021,991500,37,645625,54,11654,80,631135,83,27116,28,22548,17,1099,27
1/17/2021,Sunday,1,2021,797654,38,504031,55,9880,73,580771,85,24223,29,20269,22,910,33
1/18/2021,Monday,1,2021,1276978,61,766926,84,14124,105,689251,101,68674,83,22337,25,2141,78
1/19/2021,Tuesday,1,2021,1635915,32,1013616,50,21049,74,736254,85,72565,24,36885,14,3328,20
1/20/2021,Wednesday,1,2021,1575075,31,921371,45,19281,68,712711,82,67925,22,35263,13,2963,18
1/21/2021,Thursday,1,2021,1652842,32,1007042,49,19925,70,760221,87,71225,24,37003,14,3258,20
1/22/2021,Friday,1,2021,1672001,33,1018584,50,20375,72,787474,91,71317,24,40981,15,3174,19
1/23/2021,Saturday,1,2021,997551,37,619673,52,10536,73,640381,84,27942,29,22216,17,1114,27
1/24/2021,Sunday,1,2021,741139,35,458203,50,8317,62,560522,82,23974,29,17881,20,821,30
1/25/2021,Monday,1,2021,1592468,31,978987,48,19991,71,727393,84,73131,24,36509,14,3226,20
1/26/2021,Tuesday,1,2021,1550953,30,911579,45,18115,64,653068,75,68237,23,34574,13,2965,18
1/27/2021,Wednesday,1,2021,1660278,32,1004792,49,19841,70,740154,85,70353,23,35635,13,3098,19
1/28/2021,Thursday,1,2021,1646806,32,950205,46,20139,71,768600,88,70023,23,37015,14,3208,20
1/29/2021,Friday,1,2021,1511680,29,812264,40,19047,67,780131,90,65128,22,37760,14,2646,16
1/30/2021,Saturday,1,2021,942615,35,566837,47,10284,71,652550,85,26642,27,21229,16,811,20
1/31/2021,Sunday,1,2021,722853,35,427945,47,8616,64,573512,84,23091,28,17531,19,620,23
2/1/2021,Monday,2,2021,583230,11,337228,16,12202,41,156759,18,8611,3,12093,4,954,6
2/2/2021,Tuesday,2,2021,1005985,19,543073,25,8155,28,311607,35,22756,8,22258,8,1517,9
2/3/2021,Wednesday,2,2021,1702598,31,949695,44,16869,57,656614,74,69068,23,36347,13,3057,19
2/4/2021,Thursday,2,2021,1785833,33,1033791,48,20328,69,742193,84,71341,24,37590,14,3381,21
2/5/2021,Friday,2,2021,1741015,32,1001775,47,20136,68,766091,87,68866,23,40322,15,3115,19
2/6/2021,Saturday,2,2021,1148477,40,715717,57,12020,74,689415,83,29248,31,25168,19,1280,30
2/7/2021,Sunday,2,2021,652521,30,367095,38,7115,42,340122,45,17110,22,14068,15,736,26
2/8/2021,Monday,2,2021,1639753,30,964007,45,17786,60,701146,79,70984,23,36921,14,3075,19
2/9/2021,Tuesday,2,2021,1666467,31,992290,46,19386,66,682085,77,69548,23,34582,13,3123,19
2/10/2021,Wednesday,2,2021,1750121,32,1052021,49,22169,75,769088,87,71257,24,36580,14,3284,20
2/11/2021,Thursday,2,2021,1714656,32,1005348,47,20144,68,755367,86,70196,23,37230,14,3148,19
2/12/2021,Friday,2,2021,1706430,31,965421,45,20165,69,803912,91,72130,24,42228,16,2823,17
2/13/2021,Saturday,2,2021,1092063,38,656637,52,11669,72,666722,80,29284,31,25456,19,1198,28
2/14/2021,Sunday,2,2021,858014,39,479319,49,7835,46,551288,73,23392,30,20489,22,863,31
2/15/2021,Monday,2,2021,1218593,56,726412,74,11437,68,641883,85,65652,84,21792,24,1764,63
2/16/2021,Tuesday,2,2021,1627528,30,963223,45,19126,65,726224,82,72718,24,36234,13,3211,20
2/17/2021,Wednesday,2,2021,1733160,32,1061711,49,22336,76,821333,93,74219,25,39205,15,3349,21
2/18/2021,Thursday,2,2021,1381886,25,725951,34,15843,54,456327,52,57987,19,31747,12,2521,16
2/19/2021,Friday,2,2021,1566021,29,809308,38,14172,48,608152,69,64121,21,38307,14,2707,17
2/20/2021,Saturday,2,2021,1110589,39,679240,54,10578,65,657045,79,30920,33,25729,20,1381,32
2/21/2021,Sunday,2,2021,836095,38,516715,53,9195,55,605395,80,25208,32,19844,22,956,34
2/22/2021,Monday,2,2021,1582054,29,927414,43,19015,65,691608,78,69741,23,35468,13,3079,19
2/23/2021,Tuesday,2,2021,1730198,32,1040398,48,20852,71,759850,86,73492,24,37505,14,3406,21
2/24/2021,Wednesday,2,2021,1806306,33,1099351,51,23223,79,797488,90,74777,25,39124,15,3546,22
2/25/2021,Thursday,2,2021,1798165,33,1069420,50,22138,75,814611,92,75030,25,39397,15,3543,22
2/26/2021,Friday,2,2021,1822812,34,1065376,50,21911,74,851052,96,76696,25,44410,16,3359,21
2/27/2021,Saturday,2,2021,1072932,37,635820,50,11319,70,681969,82,28849,31,24256,19,1324,31
2/28/2021,Sunday,2,2021,810071,37,491545,50,8910,53,619960,82,23778,30,20086,22,972,35
3/1/2021,Monday,3,2021,1696274,30,1020837,46,20359,68,747909,81,74430,24,36339,13,3333,21
3/2/2021,Tuesday,3,2021,1749511,31,1024511,46,20640,69,763489,83,75335,24,36611,13,3472,22
3/3/2021,Wednesday,3,2021,1846431,33,1119137,50,22823,77,798577,87,78770,25,39651,14,3569,22
3/4/2021,Thursday,3,2021,1808744,32,1078036,48,21727,73,807284,88,78642,25,39730,14,3456,22
3/5/2021,Friday,3,2021,1825915,33,1041408,46,21842,73,846071,92,79104,25,45027,16,3270,20
3/6/2021,Saturday,3,2021,1167884,38,696719,52,11951,71,728236,84,37158,34,27276,20,3,0
3/7/2021,Sunday,3,2021,894119,39,525930,53,9843,56,662461,82,29306,34,21547,23,58,2
3/8/2021,Monday,3,2021,1719586,31,1039763,46,20685,70,767707,83,79355,25,39763,14,3344,21
3/9/2021,Tuesday,3,2021,1834068,33,1101988,49,22200,75,791512,86,79269,25,40944,15,3602,23
3/10/2021,Wednesday,3,2021,1849077,33,1104610,49,22774,77,804700,87,78069,25,41488,15,3625,23
3/11/2021,Thursday,3,2021,1881902,34,1107502,49,22617,76,836773,91,80398,26,42543,15,3682,23
3/12/2021,Friday,3,2021,1914465,34,1092388,49,21724,73,873014,95,82399,26,48553,18,3507,22
3/13/2021,Saturday,3,2021,1257372,41,730218,55,11932,70,776744,89,38465,36,31500,23,0,0
3/14/2021,Sunday,3,2021,923968,40,531754,53,9732,55,673170,83,30405,35,22347,24,0,0
3/15/2021,Monday,3,2021,1730024,31,1023990,46,19986,67,774146,84,79331,25,39529,14,3264,20
3/16/2021,Tuesday,3,2021,1798288,32,1062179,47,20903,70,786996,85,77672,25,40038,15,3394,21
3/17/2021,Wednesday,3,2021,1866414,34,1103979,49,22323,75,808876,88,81431,26,41682,15,3465,22
3/18/2021,Thursday,3,2021,1771092,32,1019472,45,20264,68,799478,87,76532,24,39884,14,3283,21
3/19/2021,Friday,3,2021,1906749,34,1083647,48,20357,68,863187,94,80041,26,46605,17,3331,21
3/20/2021,Saturday,3,2021,1307403,43,768908,58,12558,74,787777,90,41743,39,33068,24,0,0
3/21/2021,Sunday,3,2021,1013386,44,579358,58,10358,59,735673,91,34693,40,26380,28,0,0
3/22/2021,Monday,3,2021,1801438,32,1095241,49,20427,69,788542,86,84171,27,43281,16,3646,23
3/23/2021,Tuesday,3,2021,1879574,34,1133504,51,21590,73,810243,88,83106,27,41654,15,3727,23
3/24/2021,Wednesday,3,2021,1828084,33,1075968,48,21651,73,794315,86,79590,25,40301,15,3578,22
3/25/2021,Thursday,3,2021,1925768,35,1127964,50,21763,73,847633,92,83556,27,44105,16,3747,23
3/26/2021,Friday,3,2021,1938246,35,1091753,49,20805,70,865970,94,84436,27,49529,18,3536,22
3/27/2021,Saturday,3,2021,1374266,45,781981,59,12900,76,841595,97,47484,44,38301,28,0,0
3/28/2021,Sunday,3,2021,807247,35,459949,46,9104,52,601860,75,28347,33,21000,22,0,0
3/29/2021,Monday,3,2021,1742162,31,1002597,45,18543,62,763647,83,86467,28,44240,16,3378,21
3/30/2021,Tuesday,3,2021,1881537,34,1079381,48,21019,71,842154,91,91258,29,46574,17,3806,24
3/31/2021,Wednesday,3,2021,1808546,32,995873,44,20374,69,833052,90,84850,27,43954,16,3526,22
4/1/2021,Thursday,4,2021,1841815,33,1030209,47,20490,71,856466,91,77285,25,38466,13,3434,21
4/2/2021,Friday,4,2021,1757698,32,958085,44,18839,65,845252,90,79770,26,49308,17,3070,19
4/3/2021,Saturday,4,2021,1318461,42,750682,56,12735,76,779701,85,47662,42,37706,25,1503,29
4/4/2021,Sunday,4,2021,950194,39,519812,52,11632,62,749910,87,40868,45,30673,30,1066,33
4/5/2021,Monday,4,2021,1818703,33,1088750,50,19970,69,832239,88,87048,28,46156,16,3431,21
4/6/2021,Tuesday,4,2021,1942198,35,1155101,53,21695,75,840351,89,85757,28,45178,16,3873,24
4/7/2021,Wednesday,4,2021,1985370,36,1172362,54,23469,81,858593,91,85479,28,45747,16,3809,23
4/8/2021,Thursday,4,2021,2013413,36,1177833,54,22579,78,877834,93,86715,28,47059,16,3893,24
4/9/2021,Friday,4,2021,2026724,36,1144311,52,21978,76,895229,95,87051,28,52445,18,3686,23
4/10/2021,Saturday,4,2021,1391245,44,790023,59,12713,76,822112,90,45962,40,36629,25,1500,29
4/11/2021,Sunday,4,2021,899646,37,504407,51,9742,52,666435,77,32034,35,22933,22,1020,31
4/12/2021,Monday,4,2021,1845836,33,1087799,50,21192,73,793402,84,83124,27,43563,15,3418,21
4/13/2021,Tuesday,4,2021,2012153,36,1196355,55,22728,79,832482,88,87182,28,46150,16,3877,24
4/14/2021,Wednesday,4,2021,2018126,36,1199954,55,23462,81,852606,91,86698,28,47970,17,3810,23
4/15/2021,Thursday,4,2021,1906733,34,1083083,50,21198,73,822207,87,81762,26,44175,15,3593,22
4/16/2021,Friday,4,2021,2078856,37,1157507,53,21632,75,889711,95,87190,28,54355,19,3591,22
4/17/2021,Saturday,4,2021,1425036,45,803352,60,13313,80,813162,89,49901,44,39789,27,0,0
4/18/2021,Sunday,4,2021,1082503,45,607333,61,10865,58,753446,87,38263,42,30983,30,0,0
4/19/2021,Monday,4,2021,1911326,34,1147977,53,21274,74,816540,87,87167,28,45925,16,3634,22
4/20/2021,Tuesday,4,2021,2082495,37,1223642,56,23528,81,860511,91,90034,29,49100,17,4135,25
4/21/2021,Wednesday,4,2021,1965922,35,1139762,52,22379,77,828447,88,83533,27,45253,16,3788,23
4/22/2021,Thursday,4,2021,2040232,37,1166357,53,21832,75,871573,93,86606,28,46790,16,3837,24
4/23/2021,Friday,4,2021,2121350,38,1184193,54,22035,76,920588,98,92834,30,56155,20,3737,23
4/24/2021,Saturday,4,2021,1520057,48,809163,61,13351,80,854964,94,51570,45,43227,29,0,0
4/25/2021,Sunday,4,2021,985027,41,540989,55,9777,52,695863,80,34054,37,23855,23,0,0
4/26/2021,Monday,4,2021,1955370,35,1156913,53,21083,73,826605,88,89303,29,46752,16,3761,23
4/27/2021,Tuesday,4,2021,2041698,37,1198299,55,22603,78,839788,89,89028,29,47310,16,4020,25
4/28/2021,Wednesday,4,2021,2135793,38,1227777,56,24412,84,888723,94,92150,30,50011,17,4027,25
4/29/2021,Thursday,4,2021,2028524,36,1166096,53,22201,77,873037,93,88705,29,47785,17,3881,24
4/30/2021,Friday,4,2021,2159476,39,1185321,54,22322,77,922720,98,93530,30,57364,20,3699,23
5/1/2021,Saturday,5,2021,1515211,47,818655,59,13263,77,849633,89,51067,43,41395,27,0,0
5/2/2021,Sunday,5,2021,1153471,48,620063,64,11541,68,809865,95,41827,43,32683,31,0,0
5/3/2021,Monday,5,2021,1971010,34,1165505,51,21492,73,828506,86,91084,29,45800,16,3744,22
5/4/2021,Tuesday,5,2021,2120071,37,1227250,54,22962,78,851039,88,93107,29,49415,17,4181,24
5/5/2021,Wednesday,5,2021,2074543,36,1158445,51,23236,79,841968,87,91994,29,48351,17,3851,22
5/6/2021,Thursday,5,2021,2199943,38,1258536,55,23792,81,905604,94,94244,30,52748,18,4168,24
5/7/2021,Friday,5,2021,2238033,39,1222741,54,22730,77,936747,97,101637,32,61477,21,3827,22
5/8/2021,Saturday,5,2021,1444674,45,779188,56,13339,77,854156,89,56309,48,42664,28,0,0
5/9/2021,Sunday,5,2021,1107878,46,576000,60,13897,82,854809,100,54074,55,37795,36,856,24
5/10/2021,Monday,5,2021,1990039,35,1149109,51,20751,71,844563,88,96813,30,50090,17,3850,22
5/11/2021,Tuesday,5,2021,2148322,38,1231886,54,22751,77,873176,91,97358,30,51588,18,4227,24
5/12/2021,Wednesday,5,2021,2182277,38,1238990,54,23946,81,887381,92,98930,31,53548,19,4193,24
5/13/2021,Thursday,5,2021,2163052,38,1182347,52,23439,80,918259,95,103047,32,55558,19,4112,24
5/14/2021,Friday,5,2021,2266974,40,1220112,54,22437,76,947064,98,104885,33,63394,22,3963,23
5/15/2021,Saturday,5,2021,1637231,51,844096,60,13516,78,891574,93,63079,53,49401,33,11,0
5/16/2021,Sunday,5,2021,1201904,50,621750,65,11062,65,814177,96,49166,50,36227,35,14,0
5/17/2021,Monday,5,2021,2022584,35,1157960,51,20779,71,810018,84,98458,31,52803,18,3990,23
5/18/2021,Tuesday,5,2021,2150049,38,1215676,53,22367,76,838307,87,100430,31,54920,19,4321,25
5/19/2021,Wednesday,5,2021,2257549,39,1253578,55,23784,81,915644,95,104762,33,56851,20,4367,25
5/20/2021,Thursday,5,2021,2269471,40,1243965,55,23659,80,931659,97,106604,33,57425,20,4441,26
5/21/2021,Friday,5,2021,2331876,41,1221591,54,22520,77,965528,100,110077,34,67283,24,4264,25
5/22/2021,Saturday,5,2021,1645268,51,839877,60,13397,77,911148,95,66293,56,51249,34,1787,37
5/23/2021,Sunday,5,2021,1268928,53,645466,67,11765,69,885740,104,58005,59,40613,39,1358,39
5/24/2021,Monday,5,2021,2118877,37,1192453,52,21563,73,869940,90,105528,33,55179,19,4252,24
5/25/2021,Tuesday,5,2021,2270945,40,1253998,55,22854,78,902577,94,110871,35,58737,21,4683,27
5/26/2021,Wednesday,5,2021,2275882,40,1241052,55,23594,80,921084,96,114548,36,59613,21,4429,25
5/27/2021,Thursday,5,2021,2352019,41,1246269,55,23450,80,970920,101,117293,37,62852,22,4619,27
5/28/2021,Friday,5,2021,2232599,39,1135369,50,21520,73,931760,97,112780,35,66048,23,4047,23
5/29/2021,Saturday,5,2021,1370135,43,648192,46,11734,68,744860,78,54774,46,38894,26,1332,27
5/30/2021,Sunday,5,2021,1065176,45,484864,50,10028,59,664029,78,43418,45,30072,29,956,27
5/31/2021,Monday,5,2021,1389651,58,702801,73,10380,61,756187,89,102292,105,43039,41,1651,47
6/1/2021,Tuesday,6,2021,2258831,40,1230127,57,22308,76,907698,92,114759,34,94923,32,4705,29
6/2/2021,Wednesday,6,2021,2343745,42,1249102,58,24325,83,910385,93,112503,34,90821,31,4772,29
6/3/2021,Thursday,6,2021,2233917,40,1143159,53,23026,79,895524,91,102751,31,84815,29,4419,27
6/4/2021,Friday,6,2021,2310032,41,1160335,54,22743,78,930743,95,104564,31,88908,30,4308,27
6/5/2021,Saturday,6,2021,1792204,56,874545,62,14636,84,946758,96,72827,59,62687,40,0,0
6/6/2021,Sunday,6,2021,1363344,52,654780,60,12514,69,921829,100,61866,63,51469,47,0,0
6/7/2021,Monday,6,2021,2223265,40,1200737,56,21511,73,897208,91,112097,34,89412,30,4348,27
6/8/2021,Tuesday,6,2021,2265591,40,1175335,55,22948,78,878376,89,108346,33,87986,30,4561,28
6/9/2021,Wednesday,6,2021,2386026,43,1259005,59,23868,81,908563,92,107918,32,90641,31,4586,28
6/10/2021,Thursday,6,2021,2473818,44,1276901,59,23498,80,951274,97,113236,34,91323,31,4801,30
6/11/2021,Friday,6,2021,2468258,44,1221484,57,23324,80,968763,99,118259,36,94566,32,4371,27
6/12/2021,Saturday,6,2021,1775538,55,849178,61,14450,83,919318,93,68188,55,61468,39,0,0
6/13/2021,Sunday,6,2021,1379959,53,647385,59,12047,67,887098,96,59186,60,51712,47,0,0
6/14/2021,Monday,6,2021,2223186,40,1176722,55,21568,74,869235,88,115254,35,91064,31,4205,26
6/15/2021,Tuesday,6,2021,2469785,44,1277203,59,23460,80,917933,93,117580,35,96688,33,4925,30
6/16/2021,Wednesday,6,2021,2519444,45,1288040,60,24788,85,945955,96,119205,36,94690,32,4745,29
6/17/2021,Thursday,6,2021,2552497,46,1281552,60,23292,80,973485,99,121580,37,98435,33,4989,31
6/18/2021,Friday,6,2021,2572013,98,1235675,114,22491,124,989296,107,122848,125,104304,96,4549,117
6/19/2021,Saturday,6,2021,1784312,55,841519,60,13949,80,952944,97,76508,62,66134,42,0,0
6/20/2021,Sunday,6,2021,1389352,53,652557,60,13189,73,951631,103,76969,78,60876,56,0,0
6/21/2021,Monday,6,2021,2264368,40,1191844,55,20512,70,926300,94,123918,37,95740,32,4601,28
6/22/2021,Tuesday,6,2021,2354873,42,1172110,55,22293,76,896868,91,116165,35,97637,33,4648,29
6/23/2021,Wednesday,6,2021,2547416,45,1264095,59,24223,83,946870,96,121867,37,101864,34,5027,31
6/24/2021,Thursday,6,2021,2552639,46,1248843,58,22842,78,978351,99,121542,37,100509,34,5045,31
6/25/2021,Friday,6,2021,2582713,46,1214123,56,22400,76,988675,101,126722,38,100537,34,4712,29
6/26/2021,Saturday,6,2021,1854179,58,841585,60,13520,78,950086,97,76560,62,66738,42,1682,33
6/27/2021,Sunday,6,2021,1559967,60,656004,60,11883,66,900039,97,75058,76,62411,57,1436,37
6/28/2021,Monday,6,2021,2252362,40,1152019,54,20503,70,924740,94,122263,37,101482,34,4564,28
6/29/2021,Tuesday,6,2021,2343739,42,1169268,54,21612,74,930011,95,119355,36,97829,33,4717,29
6/30/2021,Wednesday,6,2021,2346388,42,1139886,53,23001,79,945822,96,119358,36,99455,34,4476,28
7/1/2021,Thursday,7,2021,2292461,43,1104516,53,22011,78,933638,97,114363,36,90018,32,4598,33
7/2/2021,Friday,7,2021,2296044,43,1121116,54,21489,76,920188,96,116542,37,94252,33,4258,31
7/3/2021,Saturday,7,2021,1541988,55,738089,55,12676,80,777262,84,63827,50,57381,37,1768,35
7/4/2021,Sunday,7,2021,1468510,63,615001,56,12816,78,773629,87,70165,67,63948,60,1815,51
7/5/2021,Monday,7,2021,1495709,64,770321,70,10303,62,838087,95,78370,75,59711,56,2005,56
7/6/2021,Tuesday,7,2021,2302002,44,1181416,57,22648,80,903777,94,127893,40,100494,35,4690,34
7/7/2021,Wednesday,7,2021,2437064,46,1234617,60,23637,83,926634,96,122603,39,99137,35,5028,36
7/8/2021,Thursday,7,2021,2364250,45,1164513,56,22941,81,897858,93,116274,37,93197,33,4785,35
7/9/2021,Friday,7,2021,2318387,44,1115969,54,20632,73,888932,92,109420,35,88347,31,4325,31
7/10/2021,Saturday,7,2021,1781717,63,855908,63,14518,91,925950,100,72964,57,64429,42,2204,43
7/11/2021,Sunday,7,2021,1365854,58,635511,58,11725,71,830775,94,62559,60,53178,50,1549,43
7/12/2021,Monday,7,2021,2245412,43,1171521,57,20623,73,866231,90,120503,38,99023,35,4563,33
7/13/2021,Tuesday,7,2021,2457526,47,1239045,60,22286,79,895705,93,123373,39,105314,37,5117,37
7/14/2021,Wednesday,7,2021,2517615,48,1260044,61,23662,83,919213,96,120455,38,101843,36,5018,36
7/15/2021,Thursday,7,2021,2581582,49,1275846,62,23772,84,971048,101,125587,40,105171,37,5209,38
7/16/2021,Friday,7,2021,2536569,48,1219118,59,21730,77,983846,102,123465,39,104331,37,4626,34
7/17/2021,Saturday,7,2021,1717480,61,795347,59,13228,83,897001,97,73001,57,64513,42,0,0
7/18/2021,Sunday,7,2021,1405344,60,640618,58,11313,68,838604,95,67362,64,56174,53,0,0
7/19/2021,Monday,7,2021,2327756,44,1208792,58,20276,72,897298,93,126653,40,103403,37,4717,34
7/20/2021,Tuesday,7,2021,2462002,47,1217802,59,22213,78,924495,96,125809,40,107009,38,5015,36
